SECTION, KEYWORD, DESCRIPTION
function.definitions                          ,   funcdef.1meth                  ,    sml syntax declare a oop_method                                                                                               
function.definitions                          ,   funcdef.2func                  ,    med syntax declare a function                                                                                                 
function.definitions                          ,   funcdef.2meth                  ,    med syntax declare a oop_method                                                                                               
function.definitions                          ,   funcdef.3func                  ,    big syntax declare a function                                                                                                 
function.definitions                          ,   funcdef.3meth                  ,    big syntax declare a oop_method                                                                                               
function.definitions                          ,   funcdef.closure                ,    function as full-fledged closure                                                                                              
function.definitions                          ,   funcdef.funcdef                ,    psu funcdef template                                                                                                          
function.definitions                          ,   funcdef.funcdsp                ,    function DspTemplate                                                                                                          
function.definitions                          ,   funcdef.funcmeta               ,    attach arbitrary metadata to a function                                                                                       
function.definitions                          ,   funcdef.lambda                 ,    function as python-lambda-style expression                                                                                    
basic.GUI.display                             ,   guidsp.alert                   ,    GuiAlert(sPrompt) alert box with ok button                                                                                    
basic.GUI.display                             ,   guidsp.button                  ,    generic pushbutton control                                                                                                    
basic.GUI.display                             ,   guidsp.checkbox                ,    generic checkbox control same as html//inputCheckbox                                                                          
basic.GUI.display                             ,   guidsp.combo_box               ,    same as html//Select execept user can also supply a value                                                                     
basic.GUI.display                             ,   guidsp.date_time               ,    A box that looks like a single-line edit control but instead accepts a date and/or time. A drop-down calendar is also provided
basic.GUI.display                             ,   guidsp.edit                    ,    same as html//textarea                                                                                                        
basic.GUI.display                             ,   guidsp.grid                    ,    grid and list control                                                                                                         
basic.GUI.display                             ,   guidsp.group_box               ,    A rectangular border/frame                                                                                                    
basic.GUI.display                             ,   guidsp.hotkey                  ,    A box that looks like a single-line edit control but instead accepts a keyboard combination pressed by the user               
basic.GUI.display                             ,   guidsp.input_box               ,    strVal = GuiInput(sPrompt                                                                                                     
basic.GUI.display                             ,   guidsp.month_cal               ,    A relatively tall control that displays all the days of the month in calendar format                                          
basic.GUI.display                             ,   guidsp.pass                    ,    simple input box for password same as html//inputPassword                                                                     
basic.GUI.display                             ,   guidsp.picture                 ,    an area containing a picture                                                                                                  
basic.GUI.display                             ,   guidsp.progress                ,    progress bar                                                                                                                  
basic.GUI.display                             ,   guidsp.radio                   ,    generic radio button same as html//inputRadio                                                                                 
basic.GUI.display                             ,   guidsp.range                   ,    up-down arrows to toggle through a range of integers                                                                          
basic.GUI.display                             ,   guidsp.rich_edit               ,    rich edit textbox with formatting                                                                                             
basic.GUI.display                             ,   guidsp.select                  ,    same as html//Select                                                                                                          
basic.GUI.display                             ,   guidsp.select_multi            ,    same as html//Select with multiple='true'                                                                                     
basic.GUI.display                             ,   guidsp.slider                  ,    A sliding bar that the user can move along a vertical or horizontal track                                                     
basic.GUI.display                             ,   guidsp.tab                     ,    control containing multiple pages                                                                                             
basic.GUI.display                             ,   guidsp.text                    ,    simple input box for text same as html//inputText                                                                             
GUI.windows                                   ,   guiwin.center                  ,    center a window relative to the desktop (or parent window)                                                                    
GUI.windows                                   ,   guiwin.coords                  ,    specify the position of a window relative to the desktop (or parent window)                                                   
interoperability                              ,   interop.alt_interop            ,    different alternatives for interop                                                                                            
interoperability                              ,   interop.com_object             ,    how to instantiante a msft OLE COM object                                                                                     
interoperability                              ,   interop.shell_run              ,    run an external program e.g. ShellRun('notepad.exe') as a separate process                                                    
interoperability                              ,   interop.shell_runwait          ,    run external program and wait for it to finish                                                                                
code.libraries.and.addons                     ,   lib.include_lib                ,    include a library file                                                                                                        
code.libraries.and.addons                     ,   lib.include_once               ,    include a library file once                                                                                                   
OOP.classes                                   ,   oopclass.class_constructor     ,    constructor method of a class                                                                                                 
OOP.classes                                   ,   oopclass.new_class             ,    a new OOP class                                                                                                               
OOP.classes                                   ,   oopclass.reflect_classname     ,    get the name of a class from within the class itself                                                                          
OOP.methods                                   ,   oopmeth.alias                  ,    create an alias name for an oop method                                                                                        
OOP.methods                                   ,   oopmeth.filter                 ,    iterate through the names of all selected methods of a class based on any criteria                                            
OOP.methods                                   ,   oopmeth.instance               ,    declare an instance method in a class                                                                                         
OOP.methods                                   ,   oopmeth.invokeoperator         ,    the symbol used as the method invocation operator                                                                             
OOP.methods                                   ,   oopmeth.multilevel             ,    declare and use a nested method (e.g.; mymap.delaware.dover.getpopulation() )                                                 
OOP.methods                                   ,   oopmeth.reflect                ,    iterate through the names of all methods of a class                                                                           
OOP.methods                                   ,   oopmeth.static                 ,    declare a static method in a class                                                                                            
OOP.methods                                   ,   oopmeth.symbolic               ,    call an oop method using a scalar for the methodname                                                                          
OOP.objects                                   ,   oopobj.new_instance            ,    A new OOP plain object. Create an object (aka instance of a class).                                                           
OOP.references                                ,   oopref.symbolic                ,    instantiate an object from an oop class using a scalar for the classname (without using string eval)                          
regular.expressions      ,   regex.22_notation              ,    specify notation for individual characters char                                                                               
regular.expressions      ,   regex.backref                  ,    RegEx memorizing capture register inside match-region or substitute-region                                                    
regular.expressions      ,   regex.basic_syntax             ,    RegEx basic syntax basic_ops                                                                                                  
regular.expressions      ,   regex.capture                  ,    specify a capturing match register                                                                                            
regular.expressions      ,   regex.match                    ,    RegEx match operation                                                                                                         
regular.expressions      ,   regex.noncapture               ,    specify a non-capturing grouping match register                                                                               
regular.expressions      ,   regex.replace                  ,    RegEx replace operation                                                                                                       
SQL.concepts ,   sqldata.bulk_insert            ,    populate a sql table using a text file as the raw data                                                                        
formatting.strings.escape   ,   strdsp.esc_bs1                 ,    note regex22 is better                                                                                                        
formatting.strings.escape   ,   strdsp.esc_bs2                 ,    note regex22 is better                                                                                                        
formatting.strings.escape   ,   strdsp.esc_qq1                 ,    note regex22 is better                                                                                                        
formatting.strings.escape   ,   strdsp.esc_qq2                 ,    note regex22 is better                                                                                                        
formatting.strings.here   ,   strdsp.here_doc                ,    specify multi-line string inside code like a perl heredoc                                                                     
formatting.strings.here   ,   strdsp.here_func               ,    heredoc function                                                                                                              
formatting.strings.here   ,   strdsp.here_str                ,    string in variable                                                                                                            
formatting.strings.here   ,   strdsp.here_var                ,    interpolated variable inside string                                                                                           
formatting.strings.here   ,   strdsp.heredoc_indent          ,    heredoc indented along with the rest of the code                                                                              
formatting.strings.code   ,   strdsp.interpo                 ,    specify a string variable with possible interpolation                                                                         
formatting.strings.code   ,   strdsp.number_format           ,    pretty-format a number for locale or data display                                                                             
formatting.strings.code   ,   strdsp.printf                  ,    specify a string variable with special formatting options                                                                     
formatting.strings.code   ,   strdsp.skeleton_fill           ,    fill in the content of a SimpleTemplate                                                                                       
formatting.strings.code   ,   strdsp.verbatim                ,    specify a string variable with NO interpolation                                                                               
reserved.for.later.use                        ,   system.timeout                 ,    throw an exception or terminate process if it is taking too long                                                              
templating                                    ,   template.delim                 ,    specify the syntax for template delimiter                                                                                     
templating                                    ,   template.valueof               ,    value output for template style programming                                                                                   
data.validation                               ,   valid.file_exist               ,    true if a file exists in the filesystem                                                                                       
data.validation                               ,   valid.file_not_exist           ,    true if a file does not exist in the filesystem                                                                               
data.validation                               ,   valid.is_numeric               ,    expression evaluates to a number                                                                                              
data.validation                               ,   valid.is_string                ,    expression evaluates to a string                                                                                              
data.validation                               ,   valid.is_true                  ,    expression evaluates to truth value                                                                                           
variable.declaration                          ,   vardec.myarr                   ,    quickly declare array                                                                                                         
variable.declaration                          ,   vardec.myboo                   ,    quickly declare boolean                                                                                                       
variable.declaration                          ,   vardec.mydic                   ,    quickly declare dictionary                                                                                                    
variable.declaration                          ,   vardec.myint                   ,    quickly declare integer                                                                                                       
variable.declaration                          ,   vardec.myobj                   ,    quickly declare object                                                                                                        
variable.declaration                          ,   vardec.mystr                   ,    quickly declare string                                                                                                        
variable.declaration                          ,   vardec.null                    ,    represent a null value in source                                                                                              
working.with.variables                        ,   varops.array_assign            ,    assign a value to Array                                                                                                       
working.with.variables                        ,   varops.array_decl              ,    declare Array                                                                                                                 
working.with.variables                        ,   varops.array_init              ,    initialize Array                                                                                                              
working.with.variables                        ,   varops.composite_defn          ,    define a composite variable (e.g.; like with perl data structure cookbook)                                                    
working.with.variables                        ,   varops.composite_manip         ,    manipulate a composite variable (e.g. sort; search filter view add edit delete)                                               
working.with.variables                        ,   varops.dumper                  ,    dump variable contents like with perl DataDumper                                                                              
working.with.variables                        ,   varops.object_assign           ,    assign a value to Object                                                                                                      
working.with.variables                        ,   varops.object_decl             ,    declare Object                                                                                                                
working.with.variables                        ,   varops.object_dupe_byref       ,    shallow copy and duplicate an object or nested variable by reference                                                          
working.with.variables                        ,   varops.object_dupe_byval       ,    copy and duplicate an object or nested variable by value                                                                      
working.with.variables                        ,   varops.object_init             ,    initialize Object                                                                                                             
working.with.variables                        ,   varops.scalar_assign           ,    assign a value to a scalar                                                                                                    
working.with.variables                        ,   varops.scalar_decl             ,    declare a scalar                                                                                                              
working.with.variables                        ,   varops.scalar_init             ,    initialize a scalar                                                                                                           
working.with.variables                        ,   varops.typecast                ,    convert the native type of a variable into another type                                                                       
working.with.variables                        ,   varops.vartype                 ,    get the native type of a variable                                                                                             
web.and.http                                  ,   webhttp.htinclude              ,    transclusion include one page or page fragment into another                                                                   
web.and.http                                  ,   webhttp.cflocation             ,    redirect to a new page like coldfusion cflocation                                                                             
web.and.http                                  ,   webhttp.cgi_referrer           ,    client referrer url                                                                                                           
web.and.http                                  ,   webhttp.cgi_remoteaddr         ,    client IP address                                                                                                             
web.and.http                                  ,   webhttp.server_get             ,    grab a web page from another site using serverside code                                                                       
core_concept.array                            ,   core_arrayop.append            ,   (aka array_push) insert a single-element at the highest index. array treated as a single nested element                        
core_concept.array                            ,   core_arrayop.basic_syntax      ,   basic array syntax                                                                                                             
core_concept.array                            ,   core_arrayop.count             ,   return the total number of elements in an array                                                                                
core_concept.array                            ,   core_arrayop.delete_at         ,   delete an array element                                                                                                        
core_concept.array                            ,   core_arrayop.dim               ,   init array to N elements                                                                                                       
core_concept.array                            ,   core_arrayop.extend            ,   append multiple elements at the highest index. array is flattened into individual elements.                                    
core_concept.array                            ,   core_arrayop.find              ,   return true if element found in list                                                                                           
core_concept.array                            ,   core_arrayop.get_baseindex     ,   get the base index for the first element in all arrays                                                                         
core_concept.array                            ,   core_arrayop.join              ,   return a string from joined array elements                                                                                     
core_concept.array                            ,   core_arrayop.last_index        ,   return the index of last element in an array (note that len does not necc eq maxindex)                                         
core_concept.array                            ,   core_arrayop.listfind_nocase   ,   return one or more element found in a list as list                                                                             
core_concept.array                            ,   core_arrayop.map               ,   one or more element found in an array as array                                                                                 
core_concept.array                            ,   core_arrayop.map_index         ,   just like map but also include array index                                                                                     
core_concept.array                            ,   core_arrayop.max               ,   return the index of the element with the maximum value                                                                         
core_concept.array                            ,   core_arrayop.min               ,   return the index of the element with the minimum value                                                                         
core_concept.array                            ,   core_arrayop.modulo            ,   return array elements modulo N (skip elements)                                                                                 
core_concept.array                            ,   core_arrayop.new               ,   create a new array                                                                                                             
core_concept.array                            ,   core_arrayop.prepend           ,   insert element at the lowest index                                                                                             
core_concept.array                            ,   core_arrayop.range             ,   return a range of countables from x to y                                                                                       
core_concept.array                            ,   core_arrayop.reorder           ,   reorder certain elements of an array while leaving the order of the remaining elements indeterminate                           
core_concept.array                            ,   core_arrayop.reverse           ,   reverse the elements in an array                                                                                               
core_concept.array                            ,   core_arrayop.select            ,   return one or more element found in an array as array                                                                          
core_concept.array                            ,   core_arrayop.set_baseindex     ,   get or set the default base index for all arrays                                                                               
core_concept.array                            ,   core_arrayop.slice             ,   return a slice (subsection) of elements from the array as another array                                                        
